1.000000000000000048e-04 3.102485438741572921e+02 6.565252264720874420e-01 5.698400000000000318e+02 8.800885438741572671e+02
1.019716471361305476e-04 3.102485438706034415e+02 6.565252264710016439e-01 5.806157348430105003e+02 8.908642787116934869e+02
1.039821681965551214e-04 3.102485438669083919e+02 6.565252264698727691e-01 5.915957243743907839e+02 9.018442682373079151e+02
1.060323296378889427e-04 3.102485438630661179e+02 6.565252264686987083e-01 6.027934385459934674e+02 9.130419824028367657e+02
1.081229130285668875e-04 3.102485438590709350e+02 6.565252264674782401e-01 6.141730615973174281e+02 9.244216054477647049e+02
1.102547153467954490e-04 3.102485438549162495e+02 6.565252264662090331e-01 6.257672875709287155e+02 9.360158314146390239e+02
1.124285492843794300e-04 3.102485438505963771e+02 6.565252264648892000e-01 6.376085981189282847e+02 9.478571419555430566e+02
1.146452435565379046e-04 3.102485438461040985e+02 6.565252264635167423e-01 6.496591524848704466e+02 9.599076963140123553e+02
1.169056432178302825e-04 3.102485438414335022e+02 6.565252264620898837e-01 6.619528523314733093e+02 9.722013961527462698e+02
1.192106099843096370e-04 3.102485438365768005e+02 6.565252264606060706e-01 6.744738187755548324e+02 9.847223625885410456e+02
1.215610225620289159e-04 3.102485438315266038e+02 6.565252264590631937e-01 6.872210809974460517e+02 9.974696248017063454e+02
1.239577769820241631e-04 3.102485438262752950e+02 6.565252264574588104e-01 7.001995458500661016e+02 1.010448089645137770e+03
1.264017869419013437e-04 3.102485438208148594e+02 6.565252264557905892e-01 7.134599027960620106e+02 1.023708446581456656e+03
1.288939841541590604e-04 3.102485438151369408e+02 6.565252264540558658e-01 7.269477976269531609e+02 1.037196341402158623e+03
1.314353187013790939e-04 3.102485438092331265e+02 6.565252264522523085e-01 7.406893763353211853e+02 1.050937920099798475e+03
1.340267593984187486e-04 3.102485438030941509e+02 6.565252264503766977e-01 7.546635963131277549e+02 1.064912140066309576e+03
1.366692941617462739e-04 3.102485437967104644e+02 6.565252264484264799e-01 7.689379448753327324e+02 1.079186488616618590e+03
1.393639303860561886e-04 3.102485437900726311e+02 6.565252264463984355e-01 7.834881354269720077e+02 1.093736679155731053e+03
1.421116953283116878e-04 3.102485437831708168e+02 6.565252264442897889e-01 7.982908878767202623e+02 1.108539431592290839e+03
1.449136364993589292e-04 3.102485437759939941e+02 6.565252264420972095e-01 8.133634113879330698e+02 1.123611955089617823e+03
1.477708220632611622e-04 3.102485437685310785e+02 6.565252264398172555e-01 8.287343235134194401e+02 1.138982867200480996e+03
1.506843412445078802e-04 3.102485437607713834e+02 6.565252264374464852e-01 8.443846638240339644e+02 1.154633207495698798e+03
1.536553047432524073e-04 3.102485437527025738e+02 6.565252264349813460e-01 8.603364108505202239e+02 1.170584954505972291e+03
1.566848451587352390e-04 3.102485437443124852e+02 6.565252264324181741e-01 8.765988839394671004e+02 1.186847427577846020e+03
1.597741174210580439e-04 3.102485437355881004e+02 6.565252264297527507e-01 8.931465539365422046e+02 1.203395097556944847e+03
1.629242992314681906e-04 3.102485437265162318e+02 6.565252264269811899e-01 9.100272241000196800e+02 1.220275767701490167e+03
1.661365915113260548e-04 3.102485437170831233e+02 6.565252264240991620e-01 9.272379761957448636e+02 1.237486519777276271e+03
1.694122188599240229e-04 3.102485437072749050e+02 6.565252264211027811e-01 9.447546748518294635e+02 1.255003218412368142e+03
1.727524300213309375e-04 3.102485436970753767e+02 6.565252264179864961e-01 9.625874004884253736e+02 1.272835944026856851e+03
1.761584983604422587e-04 3.102485436864701569e+02 6.565252264147466432e-01 9.807656031382269930e+02 1.291014146653377338e+03
1.796317223484165167e-04 3.102485436754424768e+02 6.565252264113774494e-01 9.992944187994771710e+02 1.309542962290106743e+03
1.831734260576808513e-04 3.102485436639754539e+02 6.565252264078742517e-01 1.018131290959387115e+03 1.328379834424200453e+03
1.867849596666993305e-04 3.102485436520520352e+02 6.565252264042313879e-01 1.037360423759038895e+03 1.347608967196655612e+03
1.904676999746904244e-04 3.102485436396539740e+02 6.565252264004437510e-01 1.056955373233337923e+03 1.367203916642310105e+03
1.942230509264949415e-04 3.102485436267617160e+02 6.565252263965050128e-01 1.076933799022620406e+03 1.387182342401418282e+03
1.980524441477925668e-04 3.102485436133565031e+02 6.565252263924096221e-01 1.097219753366717441e+03 1.407468296713750306e+03
2.019573394908690694e-04 3.102485435994172462e+02 6.565252263881506956e-01 1.117971559852899645e+03 1.428220103166451509e+03
2.059392255911460321e-04 3.102485435849228566e+02 6.565252263837225710e-01 1.139134467577373016e+03 1.449383010855652628e+03
2.099996204346833044e-04 3.102485435698514493e+02 6.565252263791181431e-01 1.160564032485119469e+03 1.470812575726280556e+03
2.141400719368687674e-04 3.102485435541798324e+02 6.565252263743301953e-01 1.182443668369049647e+03 1.492692211571095413e+03
2.183621585325197067e-04 3.102485435378839611e+02 6.565252263693517332e-01 1.204818654080558645e+03 1.515067197241372696e+03
2.226674897776190025e-04 3.102485435209393358e+02 6.565252263641747632e-01 1.227518779495460194e+03 1.537767322612866565e+03
2.270577069629129796e-04 3.102485435033200929e+02 6.565252263587920689e-01 1.250640633660673984e+03 1.560889176732352553e+03
2.315344837396109590e-04 3.102485434849990042e+02 6.565252263531946575e-01 1.274243683333025047e+03 1.584492226356508127e+03
2.360995267574176367e-04 3.102485434659481598e+02 6.565252263473744243e-01 1.298336391219704183e+03 1.608584934192390165e+03
2.407545763151478185e-04 3.102485434461394220e+02 6.565252263413223766e-01 1.322834982287255571e+03 1.633083525206436889e+03
